phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,bbh_174,agent-openrouter-deepseek-v3-0324-001,0,1,1,1.0
cold_start,bbh_227,agent-openrouter-deepseek-v3-0324-002,0,1,1,1.0
cold_start,bbh_119,agent-openrouter-deepseek-v3-0324-003,0,1,1,1.0
cold_start,bbh_230,agent-openrouter-deepseek-v3-0324-004,0,1,1,1.0
cold_start,bbh_27,agent-openrouter-deepseek-v3-0324-005,0,1,1,1.0
cold_start,bbh_37,agent-openrouter-deepseek-v3-0324-001,0,1,1,1.0
cold_start,bbh_97,agent-openrouter-deepseek-v3-0324-002,0,1,1,1.0
cold_start,bbh_242,agent-openrouter-deepseek-v3-0324-003,0,1,1,1.0
cold_start,bbh_66,agent-openrouter-deepseek-v3-0324-004,0,1,1,1.0
cold_start,bbh_41,agent-openrouter-deepseek-v3-0324-005,0,1,1,1.0
cold_start,bbh_222,agent-openrouter-deepseek-v3-0324-001,0,1,1,1.0
cold_start,bbh_89,agent-openrouter-deepseek-v3-0324-002,0,1,1,1.0
cold_start,bbh_176,agent-openrouter-deepseek-v3-0324-003,0,1,1,1.0
cold_start,bbh_226,agent-openrouter-deepseek-v3-0324-004,0,1,1,1.0
cold_start,bbh_229,agent-openrouter-deepseek-v3-0324-005,0,0,1,0.9333333333333333
cold_start,bbh_153,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.9375
cold_start,bbh_42,agent-openrouter-deepseek-v3-0324-002,0,1,1,0.9411764705882353
cold_start,bbh_128,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.9444444444444444
cold_start,bbh_124,agent-openrouter-deepseek-v3-0324-004,0,1,1,0.9473684210526315
cold_start,bbh_33,agent-openrouter-deepseek-v3-0324-005,0,1,1,0.95
cold_start,bbh_325,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.9523809523809523
cold_start,bbh_271,agent-openrouter-deepseek-v3-0324-002,0,1,1,0.9545454545454546
cold_start,bbh_250,agent-openrouter-deepseek-v3-0324-003,0,0,1,0.9130434782608695
cold_start,bbh_253,agent-openrouter-deepseek-v3-0324-004,0,0,1,0.875
cold_start,bbh_376,agent-openrouter-deepseek-v3-0324-005,0,1,1,0.88
cold_start,bbh_351,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.8846153846153846
cold_start,bbh_404,agent-openrouter-deepseek-v3-0324-002,0,0,1,0.8518518518518519
cold_start,bbh_359,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.8571428571428571
cold_start,bbh_334,agent-openrouter-deepseek-v3-0324-004,0,0,1,0.8275862068965517
cold_start,bbh_331,agent-openrouter-deepseek-v3-0324-005,0,0,1,0.8
cold_start,bbh_344,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.8064516129032258
cold_start,bbh_272,agent-openrouter-deepseek-v3-0324-002,0,0,1,0.78125
cold_start,bbh_355,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.7878787878787878
cold_start,bbh_397,agent-openrouter-deepseek-v3-0324-004,0,1,1,0.7941176470588235
cold_start,bbh_346,agent-openrouter-deepseek-v3-0324-005,0,1,1,0.8
cold_start,bbh_418,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.8055555555555556
cold_start,bbh_414,agent-openrouter-deepseek-v3-0324-002,0,0,1,0.7837837837837838
cold_start,bbh_269,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.7894736842105263
cold_start,bbh_350,agent-openrouter-deepseek-v3-0324-004,0,1,1,0.7948717948717948
cold_start,bbh_267,agent-openrouter-deepseek-v3-0324-005,0,1,1,0.8
cold_start,bbh_537,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.8048780487804879
cold_start,bbh_649,agent-openrouter-deepseek-v3-0324-002,0,0,1,0.7857142857142857
cold_start,bbh_501,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.7906976744186046
cold_start,bbh_633,agent-openrouter-deepseek-v3-0324-004,0,1,1,0.7954545454545454
cold_start,bbh_593,agent-openrouter-deepseek-v3-0324-005,0,1,1,0.8
cold_start,bbh_561,agent-openrouter-deepseek-v3-0324-001,0,1,1,0.8043478260869565
cold_start,bbh_639,agent-openrouter-deepseek-v3-0324-002,0,1,1,0.8085106382978723
cold_start,bbh_508,agent-openrouter-deepseek-v3-0324-003,0,1,1,0.8125
