phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,gsm8k_1309,agent-openrouter-x-ai-grok-4-1-fast-001,0,0,1,0.0
cold_start,gsm8k_228,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.5
cold_start,gsm8k_51,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.6666666666666666
cold_start,gsm8k_563,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.75
cold_start,gsm8k_501,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.8
cold_start,gsm8k_457,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.8333333333333334
cold_start,gsm8k_285,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.8571428571428571
cold_start,gsm8k_209,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.875
cold_start,gsm8k_1116,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.8888888888888888
cold_start,gsm8k_178,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.9
cold_start,gsm8k_1209,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9090909090909091
cold_start,gsm8k_864,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9166666666666666
cold_start,gsm8k_65,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9230769230769231
cold_start,gsm8k_61,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9285714285714286
cold_start,gsm8k_191,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.9333333333333333
cold_start,gsm8k_447,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9375
cold_start,gsm8k_476,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9411764705882353
cold_start,gsm8k_1034,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9444444444444444
cold_start,gsm8k_1232,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9473684210526315
cold_start,gsm8k_54,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.95
cold_start,gsm8k_1149,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9523809523809523
cold_start,gsm8k_407,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9545454545454546
cold_start,gsm8k_1310,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9565217391304348
cold_start,gsm8k_859,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9583333333333334
cold_start,gsm8k_451,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.96
cold_start,gsm8k_919,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9615384615384616
cold_start,gsm8k_1206,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9629629629629629
cold_start,gsm8k_569,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9642857142857143
cold_start,gsm8k_13,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9655172413793104
cold_start,gsm8k_326,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.9666666666666667
cold_start,gsm8k_865,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.967741935483871
cold_start,gsm8k_696,agent-openrouter-x-ai-grok-4-1-fast-002,0,0,1,0.9375
cold_start,gsm8k_1291,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9393939393939394
cold_start,gsm8k_318,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9411764705882353
cold_start,gsm8k_440,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.9428571428571428
cold_start,gsm8k_689,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9444444444444444
cold_start,gsm8k_1311,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9459459459459459
cold_start,gsm8k_189,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9473684210526315
cold_start,gsm8k_778,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9487179487179487
cold_start,gsm8k_198,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.95
cold_start,gsm8k_735,agent-openrouter-x-ai-grok-4-1-fast-001,0,1,1,0.9512195121951219
cold_start,gsm8k_704,agent-openrouter-x-ai-grok-4-1-fast-002,0,1,1,0.9523809523809523
cold_start,gsm8k_1236,agent-openrouter-x-ai-grok-4-1-fast-003,0,1,1,0.9534883720930233
cold_start,gsm8k_541,agent-openrouter-x-ai-grok-4-1-fast-004,0,1,1,0.9545454545454546
cold_start,gsm8k_88,agent-openrouter-x-ai-grok-4-1-fast-005,0,1,1,0.9555555555555556
